"support","confidence","n_rules"
0.005,0.2,40787
0.0075,0.2,8155
0.01,0.2,3003
0.015,0.2,740
0.02,0.2,247
0.005,0.3,33360
0.0075,0.3,6272
0.01,0.3,2229
0.015,0.3,577
0.02,0.3,217
0.005,0.4,27333
0.0075,0.4,4982
0.01,0.4,1734
0.015,0.4,429
0.02,0.4,158
0.005,0.5,21245
0.0075,0.5,3784
0.01,0.5,1239
0.015,0.5,277
0.02,0.5,78
0.005,0.6,14545
0.0075,0.6,2638
0.01,0.6,814
0.015,0.6,145
0.02,0.6,37
